index,distance,elevation
605,1815.0,465.75
606,1818.0,464.5
607,1821.0,453.75
608,1824.0,446.75
609,1827.0,436.75
610,1830.0,434.25
611,1833.0,431.75
612,1836.0,429.75
613,1839.0,419.0
614,1842.0,412.25
615,1845.0,412.75
616,1848.0,422.75
617,1851.0,430.0
618,1854.0,423.0
619,1857.0,420.0
620,1860.0,420.0
621,1863.0,408.75
622,1866.0,401.25
623,1869.0,399.75
624,1872.0,398.0
625,1875.0,398.0
626,1878.0,395.5
627,1881.0,395.5
628,1884.0,391.0
629,1887.0,402.75
630,1890.0,412.0
631,1893.0,406.5
632,1896.0,400.75
633,1899.0,396.0
634,1902.0,388.0
635,1905.0,383.25
636,1908.0,373.5
637,1911.0,368.0
638,1914.0,365.25
639,1917.0,375.5
640,1920.0,373.75
641,1923.0,372.25
642,1926.0,381.25
643,1929.0,366.0
644,1932.0,354.0
645,1935.0,342.5
646,1938.0,341.5
647,1941.0,338.25
648,1944.0,327.25
649,1947.0,322.25
650,1950.0,322.25
651,1953.0,319.25
652,1956.0,326.0
653,1959.0,306.5
654,1962.0,300.75
655,1965.0,296.5
656,1968.0,289.75
657,1971.0,285.25
658,1974.0,292.5
659,1977.0,294.0
660,1980.0,290.5
661,1983.0,292.0
662,1986.0,289.25
663,1989.0,290.5
664,1992.0,291.0
665,1995.0,292.25
666,1998.0,290.0
667,2001.0,311.0
668,2004.0,315.5
669,2007.0,303.0
670,2010.0,327.75
671,2013.0,312.5
672,2016.0,301.75
673,2019.0,310.0
674,2022.0,294.0
675,2025.0,294.5
676,2028.0,284.75
677,2031.0,285.75
678,2034.0,279.5
679,2037.0,278.25
680,2040.0,276.0
681,2043.0,281.75
682,2046.0,283.75
683,2049.0,281.0
684,2052.0,283.25
685,2055.0,287.0
686,2058.0,272.5
687,2061.0,267.0
688,2064.0,268.5
689,2067.0,275.25
690,2070.0,276.0
691,2073.0,275.25
692,2076.0,276.75
693,2079.0,278.25
694,2082.0,269.5
695,2085.0,273.25
696,2088.0,274.75
697,2091.0,275.0
698,2094.0,262.75
699,2097.0,270.0
700,2100.0,269.0
701,2103.0,273.0
702,2106.0,279.5
703,2109.0,285.75
704,2112.0,276.5
705,2115.0,279.0
706,2118.0,270.25
707,2121.0,273.5
708,2124.0,266.75
709,2127.0,268.75
710,2130.0,273.0
711,2133.0,259.0
712,2136.0,253.75
713,2139.0,257.75
714,2142.0,233.0
715,2145.0,240.0
716,2148.0,233.0
717,2151.0,235.0
718,2154.0,248.5
719,2157.0,221.75
720,2160.0,209.75
721,2163.0,231.75
722,2166.0,230.25
723,2169.0,218.5
724,2172.0,219.0
725,2175.0,226.25
726,2178.0,229.0
727,2181.0,221.5
728,2184.0,222.5
729,2187.0,222.25
730,2190.0,204.75
731,2193.0,211.5
732,2196.0,209.5
733,2199.0,214.75
734,2202.0,221.25
735,2205.0,211.5
736,2208.0,224.25
737,2211.0,210.0
738,2214.0,206.25
739,2217.0,219.25
740,2220.0,216.5
741,2223.0,193.5
742,2226.0,203.5
743,2229.0,208.75
744,2232.0,206.0
745,2235.0,197.25
746,2238.0,203.25
747,2241.0,196.0
748,2244.0,186.25
749,2247.0,184.75
750,2250.0,186.75
751,2253.0,184.0
752,2256.0,191.5
753,2259.0,203.25
754,2262.0,208.0
755,2265.0,223.0
756,2268.0,237.5
757,2271.0,236.25
758,2274.0,225.25
759,2277.0,213.25
760,2280.0,204.5
761,2283.0,192.75
762,2286.0,183.25
763,2289.0,178.0
764,2292.0,178.0
765,2295.0,178.5
766,2298.0,177.75
767,2301.0,177.25
768,2304.0,174.25
769,2307.0,172.75
770,2310.0,173.0
771,2313.0,183.25
772,2316.0,183.75
773,2319.0,181.5
774,2322.0,181.5
775,2325.0,187.0
776,2328.0,189.5
777,2331.0,188.75
778,2334.0,194.25
779,2337.0,190.0
780,2340.0,176.5
781,2343.0,174.75
782,2346.0,179.75
783,2349.0,181.75
784,2352.0,172.5
785,2355.0,175.25
786,2358.0,168.75
787,2361.0,163.0
788,2364.0,162.25
789,2367.0,159.75
790,2370.0,153.75
791,2373.0,151.0
792,2376.0,146.0
793,2379.0,141.0
794,2382.0,135.75
795,2385.0,140.25
796,2388.0,150.75
797,2391.0,159.5
798,2394.0,161.75
799,2397.0,157.25
800,2400.0,153.25
801,2403.0,131.5
802,2406.0,136.0
803,2409.0,149.25
804,2412.0,147.25
805,2415.0,137.5
806,2418.0,139.5
807,2421.0,137.75
808,2424.0,132.5
809,2427.0,140.75
810,2430.0,146.0
811,2433.0,146.75
812,2436.0,146.5
813,2439.0,157.25
814,2442.0,163.25
815,2445.0,182.0
816,2448.0,180.0
817,2451.0,160.75
818,2454.0,162.0
819,2457.0,153.5
820,2460.0,157.0
821,2463.0,165.0
822,2466.0,167.25
823,2469.0,167.25
824,2472.0,161.5
825,2475.0,161.0
826,2478.0,156.75
827,2481.0,154.0
828,2484.0,151.0
829,2487.0,146.5
830,2490.0,136.5
831,2493.0,121.75
832,2496.0,125.0
833,2499.0,115.25
834,2502.0,110.25
835,2505.0,105.25
836,2508.0,123.25
837,2511.0,109.5
838,2514.0,102.75
839,2517.0,105.75
840,2520.0,117.0
841,2523.0,149.5
842,2526.0,201.5
843,2529.0,203.5
844,2532.0,200.75
845,2535.0,195.5
846,2538.0,195.25
847,2541.0,193.5
848,2544.0,192.25
849,2547.0,191.0
850,2550.0,177.0
851,2553.0,181.0
852,2556.0,183.75
853,2559.0,196.0
854,2562.0,196.75
855,2565.0,187.75
856,2568.0,132.5
857,2571.0,96.5
858,2574.0,79.0
859,2577.0,72.75
860,2580.0,96.0
861,2583.0,106.75
862,2586.0,120.25
863,2589.0,125.5
864,2592.0,151.75
865,2595.0,158.5
866,2598.0,165.5
867,2601.0,126.5
868,2604.0,115.5
869,2607.0,108.0
870,2610.0,84.0
871,2613.0,89.75
872,2616.0,67.25
873,2619.0,82.75
874,2622.0,93.5
875,2625.0,101.25
876,2628.0,98.0
877,2631.0,91.25
878,2634.0,93.25
879,2637.0,86.75
880,2640.0,90.75
881,2643.0,96.75
882,2646.0,101.5
883,2649.0,130.0
884,2652.0,132.5
885,2655.0,109.0
886,2658.0,136.25
887,2661.0,104.0
888,2664.0,63.5
889,2667.0,61.5
890,2670.0,54.5
891,2673.0,57.75
892,2676.0,56.0
893,2679.0,56.5
894,2682.0,50.5
895,2685.0,51.25
896,2688.0,50.0
897,2691.0,49.75
898,2694.0,44.0
899,2697.0,42.75
900,2700.0,41.25
901,2703.0,46.5
902,2706.0,33.0
903,2709.0,16.5
904,2712.0,10.75
905,2715.0,11.75
906,2718.0,16.5
907,2721.0,11.5
908,2724.0,4.75
909,2727.0,18.75
910,2730.0,25.5
911,2733.0,30.0
912,2736.0,33.0
913,2739.0,35.25
914,2742.0,44.0
915,2745.0,38.75
916,2748.0,48.5
917,2751.0,59.25
918,2754.0,22.5
919,2757.0,8.75
920,2760.0,30.25
921,2763.0,49.75
922,2766.0,55.75
923,2769.0,46.0
924,2772.0,24.0
925,2775.0,29.5
926,2778.0,22.5
927,2781.0,13.0
928,2784.0,13.25
929,2787.0,6.75
930,2790.0,7.25
931,2793.0,5.75
932,2796.0,7.25
933,2799.0,20.25
934,2802.0,15.75
935,2805.0,6.0
936,2808.0,7.25
937,2811.0,29.75
938,2814.0,54.0
939,2817.0,76.75
940,2820.0,105.0
941,2823.0,124.5
942,2826.0,122.5
943,2829.0,98.25
944,2832.0,92.25
945,2835.0,71.25
946,2838.0,66.75
947,2841.0,68.5
948,2844.0,75.75
949,2847.0,79.25
950,2850.0,85.25
951,2853.0,91.0
952,2856.0,104.5
953,2859.0,115.5
954,2862.0,117.0
955,2865.0,123.0
956,2868.0,125.0
957,2871.0,139.75
958,2874.0,134.25
959,2877.0,133.25
960,2880.0,113.5
961,2883.0,101.0
962,2886.0,97.5
963,2889.0,85.75
964,2892.0,96.5
965,2895.0,90.0
966,2898.0,86.25
967,2901.0,102.75
968,2904.0,151.0
969,2907.0,118.0
970,2910.0,110.5
971,2913.0,55.0
972,2916.0,26.75
973,2919.0,17.75
974,2922.0,16.0
975,2925.0,12.75
976,2928.0,7.5
977,2931.0,8.75
978,2934.0,11.0
979,2937.0,13.25
980,2940.0,8.5
981,2943.0,9.0
982,2946.0,10.25
983,2949.0,13.5
984,2952.0,13.25
985,2955.0,11.25
986,2958.0,13.5
987,2961.0,15.25
988,2964.0,14.75
989,2967.0,16.75
990,2970.0,14.75
991,2973.0,13.0
992,2976.0,14.75
993,2979.0,18.75
994,2982.0,15.75
995,2985.0,12.75
996,2988.0,13.5
997,2991.0,15.25
998,2994.0,15.0
999,2997.0,14.0
1000,3000.0,14.5
